,roles,companies,locations,experience,skills
51,Senior Data Scientist,Myntra.com,Bengaluru,3-6 Yrs,"Supply chain
Computer science
Computer vision
Machine learning
SAT
SCALA
Agile
Workflow"
52,Sr Data Scientist,krtrimaIQ AI Solutions,Bengaluru,5-8 Yrs,"Computer science
Data analysis
Machine learning
linear regression
Presales
Healthcare
Anova
Business intelligence"
53,Sr Data Scientist,krtrimaIQ AI Solutions,Bengaluru,5-8 Yrs,"Computer science
Computer vision
deep learning
Data analysis
Neural networks
Machine learning
Presales
Natural language processing"
54,Data Scientist / Senior Data Scientist / NLP Data Scientist,FRACTAL ANALYTICS PVT. LTD,Bengaluru,3-7 Yrs,"Data Science
Machine Learning
Python
Artificial Intelligence
Natural Language Processing"
55,Senior Data Scientist,Johnson Controls India Private Limited,Bengaluru(Whitefield),5-6 Yrs,"NLP
Image Processing
Natural Language Processing
Text Mining
Computer Vision
Machine Learning"
56,Senior Data Scientist,Walmart Labs,Bengaluru,5-9 Yrs,"Order management
Supply chain
Outbound
Supply chain management
SAS
Analytical
Data processing
Troubleshooting"
57,Senior Data Scientist,Fractal.ai,Bengaluru,4-8 Yrs,"Process automation
Biometrics
customer analytics
Prototype
Diagnostics
Analytical
Artificial Intelligence
Machine learning"
58,Sr. Data Scientist - Deep Learning ( NLP ),TRH Consultancy Services,"Bengaluru, Hyderabad",5-10 Yrs,"R
C++
C
Logistic Regression
Opencv
Image Processing
Neural Networks
Caffe"
59,Data Scientist (Machine Learning)/Artificial Intelligence,GrayRipples.com,"Bengaluru, Hyderabad",1-6 Yrs,"Artificial Intelligence
Machine Learning"
60,Senior Data Scientist (NLP),Visible Alpha Solutions India Pvt. Ltd.,Mumbai,5-7 Yrs,"Java
R
NLP
Algorithms
Linux
Web Technologies
Programming
Information Retrieval"
61,Data Scientist - Python/R,Vipany Management Consulting,Visakhapatnam,4-9 Yrs,"Data Science
R
Statistical Software
Statistical Modeling
Graph Databases
Data Mining
Advanced Excel
Tableau"
62,Hiring Data Scientist / Sr. Data Scientist,Claim Genius India Pvt. Ltd.,"Nagpur, Hyderabad",4-9 Yrs,"Data Science
CNN
Image Processing
Artificial Intelligence
Neural Networks
Computer Vision
Machine Learning
Deep Learning"
63,Senior Data Scientist,Varite,Hyderabad,1-7 Yrs,"deep learning
Operations research
data science
SSRS
Machine learning
power bi
data integrity
SQL Server reporting services"
64,Senior Data Scientist,Varite India Pvt. Ltd.,Hyderabad,5-10 Yrs,"Power Bi
Artificial Intelligence
SSRS
SQL Server
Machine Learning
Statistics
Data Science
Azure ML"
65,Senior Data Scientist - IIT/NIT/BITS,AlgonoX Technologies,Hyderabad,2-5 Yrs,"Data Science
Java
C++
Docker
Artificial Intelligence
Image Processing
Text Analytics
Natural Language Processing"
66,Machine Learning/data Scientist - Python/java/etl,3D India Staffing Research Consulting Pvt Ltd,"Gurgaon, Gurugram",5-8 Yrs,"Java
R
Data Scientist
SCALA
Data Mining
Perl
Machine Learning
Statistical Analysis"
67,Opening For Data Scientist in Axtria,Axtria India Private Limited,"Bengaluru, Gurgaon, Noida",7-12 Yrs,"forecasting.
market analytics
decision science
market mix model
SAS
pharma analytics
predictive analytics
statistical model"
68,DATA Engineers/ Scientist/ Analyst || Crmnext || 3-8 || Mumbai,Acidaes Solutions Pvt. Ltd.,Mumbai,3-8 Yrs,"Data Quality
Artificial Intelligence
Requirement Gathering
Big Data
Data Governance
Machine Learning
Python"
69,Tomtom is Hiring For Senior Data Scientist,TomTom India Private Limited,Pune,8-12 Yrs,"Pytorch
Tensorflow
Data Science
Object Detection
Cnn
NLP
Computer Vision
Machine Learning"
70,Senior Data Scientist,Jet2 Travel Technologies Pvt. Ltd.,Pune,5-10 Yrs,"Data Science
Operational Efficiency
Cyber Security
Service Quality
Operations"
71,Senior Data Scientist,vElement Technology Pvt Ltd,Pune,7-12 Yrs,"Process automation
SAP
data science
Javascript
HTML
JSON
microsoft
Order processing"
72,Senior Data Scientist - Machine Learning,Serving Skill,Kochi,6-9 Yrs,"Data Science
Azure
Data Scientist
Data Management
Agile
Data Analytics
Machine Learning
Python"
73,Data Scientist,Anlage Infotech (I) Pvt. Ltd.,Bengaluru,7-12 Yrs,"natural language processing
data science libraries
Deep learning libraries
Xdata
data mining
Jupyter notebook
machine learning
Clustering"
74,Data Scientist,reach52,Bengaluru,6-10 Yrs,"PDF
Excel
Data management
Test management
Javascript
Deployment
data integrity
Strategy development"
75,Applied Data Scientist,Tookitaki,Bengaluru,2-4 Yrs,"Computer science
C++
Product engineering
data science
Analytical
Artificial Intelligence
Machine learning
Data processing"
76,"Data Scientist, NLP",Fractal.ai,Bengaluru,2-6 Yrs,"deep learning
customer analytics
Statistical analysis
Executive
Diagnostics
Artificial Intelligence
Machine learning
Data analytics"
77,Data Scientist,Blue Jeans Network,Bengaluru,5-10 Yrs,"Computer science
Usage
spark
Machine learning
SCALA
Predictive modeling
data visualization
big data"
78,Data Scientist,Impact HR Services Pvt.Ltd.,Bengaluru,6-10 Yrs,"Application Development
Data Engineering
Data Wrangling
Machine Learning
Deep Learning
Python"
79,Principal Data Scientist,Britive,Bengaluru,8-13 Yrs,"Computer science
Data analysis
PDF
Coding
Data modeling
Analytical
Machine learning
Data mining"
80,Data Scientist,Hitachi Consulting Software Services India Limited,Bengaluru,10-15 Yrs,"Computer science
Data analysis
Operations research
Analytical
Artificial Intelligence
Intellectual property
Machine learning
Agile"
81,Lead Data Scientist,Core Compete Pvt. Ltd.,"Pune, Hyderabad(Gachibowli)",7-10 Yrs,"python
data science
SAS
tensorflow
nlp
regression analysis
statistical analysis
sql"
82,Planning COE Data Scientist,Hewlett Packard Enterprise,Bengaluru,10-15 Yrs,"Supply chain
Computer science
Demand planning
SAS
Machine learning
Agile
Data processing
QlikView"
83,Data Scientist,krtrimaIQ AI Solutions,Bengaluru,3-5 Yrs,"Logistic regression
Data analysis
Interpersonal skills
tableau
Statistical analysis
QlikView
Business intelligence
Statistics"
84,Data Scientist/Data Science/ Data Science Lead,Holcim Services (South Aisa) Limited,Navi Mumbai,6-11 Yrs,"deep learning
algorithms
python
r
nlp
data mining
data structures
mysql"
85,Data Scientist,Boppo Technologies Pvt. Ltd.,Mumbai,1-3 Yrs,"C++
Operations research
Analytical
Machine learning
data visualization
Data mining
Business intelligence
Statistics"
86,Data Scientist,SVKM's Narsee Monjee Institute of Management Studies - NMIMS,Mumbai,2-7 Yrs,"data science
SAS
Analytical
Machine learning
HTML
Predictive modeling
Pattern recognition
Data mining"
87,Data Scientist - Manufacturer of High Quality Storage Products,NewAge Products Inc,Mumbai,5-10 Yrs,"python
predictive modeling
neural networks
business solutions
product data management
clustering
machine learning
inventory management"
88,Principal Data Scientist - Recommender system,TVS MOTOR COMPANY LTD,Bengaluru,8-10 Yrs,data
89,Principal Data Scientist-Digital (OOG),TVS MOTOR COMPANY LTD,Bengaluru,8-12 Yrs,DATA SCIENTIST
90,CSII - Item and inventory - Senior Data Scientist,Walmart Labs,Chennai,3-7 Yrs,"Order management
Supply chain
Computer science
SAN
Supply chain management
SAS
Machine learning
Troubleshooting"
91,Senior Manager I - Data Scientist,Walmart Labs,Chennai,5-9 Yrs,"Order management
Supply chain
Computer science
SAN
Supply chain management
SAS
Machine learning
Troubleshooting"
92,Senior Programmer – Data Scientist,CCS Computers Pvt. Ltd.,Delhi NCR,5-9 Yrs,"Pytorch
Tensorflow
Nltk
Recommender Systems
Artificial Intelligence
Keras
Computer Vision
Machine Learning"
93,Lead Data Scientist,Tide Software,Hyderabad,5-10 Yrs,"Neural networks
XML
Machine learning
Agile
JSON
Natural language processing
Business intelligence
big data"
94,Data Scientist,Zen3Tech (A Tech Mahindra Company),Hyderabad,3-8 Yrs,"R
A/B Testing
Data Manipulation
Machine Learning
Python"
95,Data Scientist,Black Knight India Solutions Private Limited,Hyderabad,6-10 Yrs,"Financial Analysis
R
Finance
Data Analysis
Chartered Financial Analyst
Macroeconomics
SQL Scripting
Analytics"
96,Data Scientist - Machine Learning/Python,CarbyneTech India,Hyderabad,3-8 Yrs,"Predictive Modeling
Interpersonal Communication
R
Creative Problem Solving
Neural Networks
Time Series
Machine Learning
Statistics"
97,Data Scientist - Hadoop/ ETL/ Big Data/ SSIS,3D India Staffing Research Consulting Pvt Ltd,"Chennai, Pune, Delhi, Mumbai, Bengaluru, Kolkata",5-10 Yrs,"Communication Skills
Artificial Intelligence
Hadoop
Big Data
Informatica
Data Warehousing
Data Processing
ETL"
98,Sr. Data Scientist / Analyst,Speridian Technologies Pvt Ltd,"Mumbai, Bengaluru",10-15 Yrs,"Analyst
Artificial Intelligence
Social media
Manager Technology
Customer service
Data mining
big data
Operations"
99,Data Scientist,Anlage Infotech (I) Pvt. Ltd.,Pune,10-16 Yrs,"Data Science
AI/ML
Python
Algorithm Development
Logistic Regression
Artificial Intelligence
Natural Language Processing
Big Data"
100,Data Scientist,Smart Monitor,Pune(Senapati Bapat Road),2-5 Yrs,"Spotfire
CSS
Oracle SQL
Power Bi
Html5
Artificial Intelligence
Alteryx
Neural Networks"
101,HiTech iSolutions LLP:: Data Scientist,Hi-Tech iSolutions LLP,"Pune, Ahmedabad",3-6 Yrs,"Data Science
R
Machine Learning
Python"
102,Lead Data Scientist/ML,WHIZDOTAI INDIA PRIVATE LIMITED,Pune,10-20 Yrs,"Algorithms
Machine Learning
Python
Pytorch
Tensorflow
Data Science
R
Xgboost"
103,Opportunity For Data Scientist For Global Investment firm,Anlage Infotech (I) Pvt. Ltd.,"Chennai, Pune",10-15 Yrs,"Data Science
Data scientist
NLP
Algorithms
Artificial Intelligence
Natural Language Processing
Big Data
Machine Learning"
104,Data Scientist,Incedo Technology Solutions Ltd.,"Pune, Delhi NCR",5-10 Yrs,"Data Science
NLP
Logistic Regression
Data Analysis
SVM
Powerpoint
Machine Learning
Lucene"
105,Data Scientist / Analyst,SevenMentor Private Limited,Pune,0-3 Yrs,"Computer science
Analyst
SAS
Machine learning
Programming
Computer application
Data Analyst
SPSS"
106,Data Scientist,Larsen & Toubro Infotech Limited,Pune,5-10 Yrs,"Statistical programming
Excel
SAS
GCP
Analytical
Downstream processing
Machine learning
power bi"
107,Cuelogic Technologies hiring Data Scientist with Healthcare domain exp,Cuelogic Technologies PVT Ltd,Pune,5-10 Yrs,"US Healthcare
Data Science
Sagemaker
Hyperparameter
numpy
Machine Learning
pandas
medical claims data"
108,Data Scientist - SaaS,OnceHub Technologies,"Gurgaon, Gurgaon",1-6 Yrs,"IT Skills
Python
Testing
work from home
R
PowerBI
Data Scientist
Hypothesis Testing"
109,Senior Data Scientist - CPG Sector,NovoTree Minds Consulting Pvt. Ltd.,Bengaluru,5-10 Yrs,"Data Science
Data Scientist
Data Management
Statistical Modeling
Data Modeling
Data Analytics
Statistics
Analytics"
110,Senior Data Scientist,Bigshyft Hiring for Draup,Bengaluru,2-5 Yrs,"Spark
Aws
Natural Language Processing NLP
Deep Learning
Python"
111,Senior Data Scientist,Bigshyft Hiring for ThoughtFocus,Bengaluru,6-8 Yrs,"Scala
Hadoop
SciKit-Learn
Big data
Spark"
112,Data Scientist,Xome,Chennai,2-5 Yrs,"model validation
SAS
data science
Diversity and Inclusion
Machine learning
Predictive modeling
Information technology
Monitoring"
113,Data Scientist,ZunRoof Tech Pvt Ltd,Delhi NCR(Sector-63 Gurgaon),1-6 Yrs,"Data Analysis
Java
R
Logistic Regression
Time Series Analysis
Redis
Machine Learning
Python"
114,Data Scientist ( Virtual/ Work from Home),Axim Technologies,"Nagpur, Lucknow, Mangalore, Mysore, Indore, Patna, Visakhapatnam, Jaipur",3-5 Yrs,"IT Skills
Python
Machine Learning
Big Data
work from home
R
Artificial Neural Networks
Data Scientist"
115,Data Scientist,DIZBI PRIVATE LIMITED,Bengaluru,0-2 Yrs,"Anakonda
plotly dash and bokeh
SCM domain
Dashboards creations in python
Business Analysis
Data Science
SoftMotive or Automation Any Where or UI Pat
R"
116,Data Scientist,experionglobal,"Trivandrum, Kochi",7-10 Yrs,"Data analysis
Change management
MySQL
Informatica
microsoft
Oracle
Data mining
Project delivery"
117,"Manager, Data Scientist || Fiserv || Chennai Location",Fiserv India Pvt Ltd,Chennai,15-24 Yrs,"Predictive Modeling
R
Requirement Gathering
Hadoop
Big Data
Data Mining
New Business
Business Development"
118,Data Scientist,Clinton Health Access Initiative,Delhi,3-8 Yrs,"Product management
Supply chain management
Data management
Data structures
HTTP
Stored procedures
Open source
Analytics"
119,Lead Data Scientist,KnowDis Data Science LLP,"Delhi NCR(Shalimar Bagh), Delhi",7-12 Yrs,"Machine Learning
NLP
Computer Science
Neural Networks
Neural Information Retrieval
Computer Vision"
120,Data Scientist,Sumati (An Elevate Business),Chandigarh,4-7 Yrs,"Data Structures
Web Services Testing
Legal
Natural Language Processing
Data Mining
Data Visualization
Information Retrieval
Machine Learning"
121,Hiring Data Scientist,Priya Softweb Solutions Private Limited,Ahmedabad,2-6 Yrs,"Machine Learning
Deep Learning
Python
Tensorflow
Object Detection
Cnn
Lstm
Neural Networks"
122,Data Scientist,Shell India Markets Private Limited,Chennai,5-7 Yrs,"Predictive Modeling
Data Science
Plant Maintenance
Advanced Analytics
Process Mining
Statistical Modeling
Tableau
Sap Lumira"
123,Data Scientist,CREDITMANTRI FINSERVE PRIVATE LIMITED,Chennai,2-3 Yrs,"Data Science
Predictive Modeling
Machine Learning
R
Logistic Regression
Segmentation
Chaid
Time Series"
124,Data Scientist,Mindcurv Technology Solutions Pvt Ltd,Kochi,4-8 Yrs,"Java
Maths
Azure
Big Data Analytics
Artificial Intelligence
Hadoop
Tableau
Machine Learning"
125,Data Analyst / Data Scientist,Analytics Vidhya Educon Pvt. Ltd,Noida,0-4 Yrs,"data science
Manager Technology
HTML
Mathematics
Data Analyst
SPSS
Statistics
Analytics"
126,Manager Data Scientist,Innefu Labs,Delhi,6-11 Yrs,Python
127,Senior Data Scientist - Banking & Financial Services,Rinalytics Advisors,Mumbai,5-9 Yrs,"Data Science
Data Scientist
Data Management
Data Analytics
Machine Learning
Analytics
Python"
128,Senior Data Scientist - Banking & Financial Services,Rinalytics Advisors,Mumbai,5-9 Yrs,"Data Science
Communication Skills
Financial Services
Finance
Classification
Banking
Machine Learning
Python"
129,Lead Data Scientist,Lobo Staffing Solutions Private Limited,Mumbai,10-18 Yrs,"Project Management
Customer Loyalty
Tableau
Management Skills
Analytics
SQL
Solution Architecture"
130,Sr Data Scientist,ManpowerGroup Services India Private Limited,Mumbai,5-10 Yrs,"Matplotlib
NoSQL
Statistical Modeling
Data Mining
Seaborn
Tableau
Machine Learning
AWS"
131,Lead Data Scientist,Lobo Staffing Solutions Private Limited,Mumbai,10-18 Yrs,"R
Project Management
Customer Loyalty
Tableau
Management Skills
Analytics
SQL
Solution Architecture"
132,"Sr Data Scientist - Computer Vision, Deep Learning",HERE Technologies,"Mumbai, Mumbai City",0-0 Yrs,"Data Science
Computer Vision
Machine Learning
Deep Learning
Python"
133,"Data Analyst/ Data Scientist at NKP Goregoan, Mumbai in MNC Bank",Novel Financial Solutions Pvt LTd,Mumbai,2-6 Yrs,"Data Validation
VBA
VLOOKUP
Data Management
Data Analysis
Formulas
Conditional Formatting
Pivot"
134,SENIOR DATA SCIENTIST AND MACHINE LEARNING ENGINEER,McAfee Software (India) Pvt. Ltd,Bengaluru,5-9 Yrs,"Computer science
C++
Data analysis
Machine learning
Perl
Data mining
MATLAB
Analytics"
135,SENIOR DATA SCIENTIST AND MACHINE LEARNING ENGINEER,McAfee Software (India) Pvt. Ltd,Bengaluru,5-9 Yrs,"C++
Data analysis
Analytical
Machine learning
Perl
Data mining
MATLAB
Analytics"
136,SENIOR DATA SCIENTIST AND MACHINE LEARNING ENGINEER,McAfee Software (India) Pvt. Ltd,Bengaluru,5-9 Yrs,"Computer science
C++
Data analysis
Machine learning
Perl
Data mining
MATLAB
Analytics"
137,SENIOR DATA SCIENTIST AND MACHINE LEARNING ENGINEER,McAfee Software (India) Pvt. Ltd,Bengaluru,5-9 Yrs,"C++
Data analysis
Analytical
Machine learning
Perl
Data mining
MATLAB
Analytics"
138,Senior Data Scientist,Turbohire Technologies Pvt. Ltd.,Hyderabad,2-5 Yrs,"Java
NLP
Expect
Django
Artificial Intelligence
Web Technologies
Machine Learning
Web Development"
139,Data Scientist/ML Engineer (Work from Home),COA NETWORK INDIA PRIVATE LIMITED,Hyderabad(Somajiguda),2-7 Yrs,"IT Skills
Python
Data Science
work from home
Dimensionality Reduction
Artificial Intelligence
Data cleaning
Data Transforms"
140,Data Scientist,CIEL HR Services Pvt Ltd,Gurgaon,3-5 Yrs,"Automation Tools
Data Science
R
Algorithms
Design Development
Home Automation
Data Scientist
Classification"
141,Hiring a Part-time Supporter For Data Analyst or Data scientist,Platinus Technologies Private Limited,"Chennai, Pune, Delhi NCR, Mumbai, Bengaluru, Hyderabad, Kolkata",5-10 Yrs,"Data Scientist
Data Analyst"
142,Senior Data Scientist,Bigshyft Hiring for Innoplexus,Pune,6-10 Yrs,"NoSQL
Text Mining
Machine Learning ML
Python"
143,"Lead Data Scientist - 8+ yrs, Bangalore Location",Careernet Technologies Pvt Ltd,Bengaluru,7-11 Yrs,"Data Science
decision tree
NLP
Artificial Intelligence
Natural Language Processing
Neural Networks
random forest
Machine Learning"
144,Data Scientist - Analytics Product,Hexaconcepts,Bengaluru,4-8 Yrs,"Data Science
Predictive Modeling
Data Scientist
Data Management
Statistical Modeling
Data Analytics
Machine Learning
Statistics"
145,Data Scientist - Statistical Modeling / Predictive Modeling,Confidential,Bengaluru,4-6 Yrs,"Data Science
Predictive Modeling
Regression Algorithms
R
Power BI
Data Scientist
Statistical Modeling
Neural Networks"
146,Principal Data Scientist - IIT/ NIT / BITS,3D India Staffing Research & Consulting Co India,Bengaluru,8-13 Yrs,"Team Handling
Segmentation
Operations Research
Data Mining
Machine Learning
Statistics
Analytics
Clementine"
